Curve Pool: ,0x5a6A4D54456819380173272A5E8E9B9904BdF41B
UNIX TimeStamp,Old_A,New_A,Initial_time,Future_time
1625811905,1000,2800.0,1625811905,1625898305
1625898305,1000.0,2800.0,1625898305,1625984705
1625984705,2800.0,4600.0,1625984705,1626071105
1626071105,4600.0,6400.0,1626071105,1626157505
1626157505,6400.0,8200.0,1626157505,1626243905
1626395266,8200.0,10000,1626395266,1626395266
UNIX TimeStamp,Old_A,New_A,Initial_time,Future_time
1632263094,10000,13333.333333333334,1632263094,1632349494
1632349494,10000.0,13333.333333333334,1632349494,1632435894
1632435894,13333.333333333334,16666.666666666668,1632435894,1632522294
1632522294,16666.666666666668,20000.0,1632522294,1632608694
1632608694,20000.0,23333.333333333336,1632608694,1632695094
1632695094,23333.333333333336,26666.666666666668,1632695094,1632781494
1632927600,26666.666666666668,30000,1632927600,1632927600
UNIX TimeStamp,Old_A,New_A,Initial_time,Future_time
1638118605,30000,115000.0,1638118605,1638205005
1638205005,30000.0,115000.0,1638205005,1638291405
1638418699,115000.0,200000,1638418699,1638418699
